id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
40,40,"Pittsburgh-New Castle, PA",Midwest,40.44169410,-79.99008610,2009,1.93,1.5,2.36,2.05,1.92,1.81,8343042682.0,47077,0.1699,0.0229,43956.15,2.42,5.14,0.4016,0.2823,0.1731,0.9032,0.0088,5717.00,12401.00,0.1315,-0.0006,0,342.90,0.279,0.342,0.0309,0.461,0.035,0.088,0.149,0.231,0.497,0.219,25812,45048,52842,50351,0.4749,0.2133,0.1171,0.1658,0.3616,0.5075,0.748,0.7097,41,0.8643,0.0407,59794.01,94.31
41,41,"Portland-Vancouver-Hillsboro, OR-WA",West,45.52024710,-122.67419490,2009,2.51,2.02,2.24,2.86,3.61,1.82,15482351809.0,59393,0.0773,0.0638,41290.45,6.83,6.04,0.3473,0.335,0.1944,0.8925,0.0125,5335.00,10102.00,0.6356,0.0156,0,268.50,0.383,0.401,0.1219,0.437,0.039,0.097,0.156,0.233,0.476,0.203,35197,43045,63325,60695,0.3562,0.3055,0.1083,0.1526,0.3525,0.39,0.6678,0.6368,42,0.8199,0.033,74529.09,22.29
42,42,"Raleigh-Durham-Cary, NC",Southeast,35.78040150,-78.63907790,2009,2.72,1.96,3.27,3.03,3.37,1.97,1799461128.0,50655,0.3046,0.1431,41330.21,9.03,4.74,0.4595,0.4186,0.2165,0.8871,0.0092,8260.00,8632.00,0.6301,0.0305,0,278.20,0.203,0.365,0.1094,0.439,0.04,0.095,0.153,0.234,0.479,0.202,42334,38193,74239,64435,0.2443,0.3277,0.0551,0.1337,0.473,0.4035,0.7652,0.6821,23,0.9017,0.0212,2058.52,7.77
43,43,"Richmond, VA",Southeast,37.54123900,-77.44201830,2009,2.31,1.6,2.22,2.96,2.89,1.87,4096802197.0,50171,0.202,0.0818,38966.06,1.27,5.70,0.3467,0.3075,0.1972,0.852,0.0106,5666.00,11248.00,0.6603,0.0098,0,293.20,0.251,0.35,0.0607,0.443,0.038,0.096,0.153,0.23,0.483,0.21,42930,46496,71384,61266,0.28,0.3168,0.0639,0.1527,0.5262,0.4163,0.7798,0.6928,27,0.9102,0.0286,13841.90,26.44
44,44,"Rochester-Batavia-Seneca Falls, NY",Northeast,43.15728510,-77.61521410,2009,2.59,1.18,3.44,2.66,3.4,2.27,4873989644.0,44370,0.1036,-0.0243,38554.17,8.86,4.13,0.3819,0.3142,0.1941,0.8806,0.0047,8853.00,18764.00,0.863,0,0,292.60,0.326,0.307,0.0641,0.436,0.037,0.095,0.158,0.239,0.471,0.197,29744,32533,59789,55079,0.4227,0.3936,0.0912,0.1746,0.3531,0.4171,0.7527,0.6969,26,0.901,0.0377,16918.13,227.58
45,45,"Sacramento-Arden-Arcade-Yuba City, CA-NV",West,38.47322590,-121.29807070,2009,2.33,1.31,2.36,3.19,2.84,1.97,3502025890.0,44411,0.218,0.1119,41916.52,1.83,4.00,0.2974,0.2973,0.2105,0.8676,0.0081,6574.00,9058.00,0.6082,0.0115,0,508.50,0.258,0.38,0.1697,0.430,0.039,0.096,0.157,0.239,0.469,0.19,41621,49957,69721,64081,0.3063,0.2373,0.0929,0.1631,0.3803,0.4918,0.6836,0.6246,30,0.8733,0.0227,22169.78,41.44
46,46,"Salt Lake City-Ogden-Clearfield, UT",West,40.76064670,-111.89109000,2009,2.61,1.99,2.21,3.64,3.33,1.87,7783456295.0,57883,0.2916,0.1356,38881.87,1.16,5.94,0.2878,0.2969,0.2313,0.882,0.0144,6497.00,6579.00,0.4356,0.0176,0,347.80,0.353,0.417,0.1146,0.417,0.044,0.104,0.159,0.232,0.462,0.196,34715,45864,66406,62560,0.2704,0.2184,0.0723,0.1101,0.2991,0.5093,0.7307,0.6909,31,0.8794,0.0184,20657.02,0.00
47,47,"San Antonio-New Braunfels, TX",Southwest,29.42460020,-98.49514050,2009,2.13,1.8,2.01,2.32,2.9,1.63,4390003429.0,36490,0.4158,0.1617,36197.27,1.52,6.02,0.24,0.2442,0.2269,0.8146,0.0105,7004.00,8722.00,0.6164,0.0215,0,469.60,0.192,0.363,0.1123,0.463,0.033,0.089,0.149,0.233,0.496,0.216,42241,40094,65453,50681,0.3621,0.2844,0.0955,0.2291,0.4866,0.601,0.7249,0.6482,37,0.9069,0.0315,43296.33,1.16
48,48,"San Diego-Carlsbad-San Marcos, CA",Southwest,32.74698690,-117.21177000,2009,2.28,1.8,2.38,2.75,2.6,1.91,13418553900.0,56698,0.0813,0.0701,47223.95,9.68,4.00,0.3515,0.3413,0.198,0.8554,0.0091,6574.00,9058.00,0.1753,0.0129,0,424.30,0.293,0.407,0.2255,0.451,0.036,0.092,0.151,0.233,0.488,0.208,50602,48612,76302,67139,0.2493,0.2475,0.0705,0.1588,0.3204,0.4268,0.6259,0.5595,36,0.8577,0.0261,63253.51,41.44
49,49,"San Jose-San Francisco-Oakland, CA",West,37.34385020,-121.88313490,2009,2.51,2.31,2.78,2.33,3.44,1.68,16040333965.0,82699,-0.0709,-0.0849,61066.21,15.62,4.00,0.4827,0.4334,0.1787,0.8686,0.0079,6574.00,9058.00,0.6493,0.0139,0,487.80,0.296,0.503,0.2934,0.475,0.031,0.085,0.147,0.23,0.507,0.224,42623,59747,94381,80535,0.2959,0.184,0.051,0.1194,0.3556,0.4614,0.6204,0.5617,60,0.721,0.0659,181821.91,41.44
50,50,"Seattle-Tacoma-Olympia, WA",West,47.60383210,-122.33006240,2009,2.77,3.14,2.72,2.99,3.21,1.76,36942252334.0,70304,0.1206,0.0738,51366.96,18.67,5.94,0.3955,0.3687,0.1855,0.9054,0.008,6787.00,9880.00,0.3562,0.0178,0,384.30,0.361,0.414,0.1556,0.439,0.038,0.097,0.155,0.232,0.478,0.207,41415,51722,73397,69608,0.3332,0.2449,0.0759,0.1221,0.347,0.4113,0.6659,0.6262,47,0.8096,0.033,132171.88,8.03
51,51,"St. Louis-St. Charles-Farmington, MO-IL",Midwest,38.62727330,-90.19788890,2009,2.12,1.35,2.28,2.64,2.58,1.74,9026664271.0,47724,-0.0018,0.0099,43282.67,1.59,5.57,0.3501,0.2894,0.2031,0.8759,0.0127,6682.00,9688.00,0.1644,0.0042,0,,0.31,0.365,0.0403,0.449,0.036,0.093,0.154,0.234,0.484,0.211,32519,51406,62785,56690,0.3869,0.258,0.0928,0.1683,0.4555,0.5547,0.7834,0.7195,32,0.9092,0.0278,34919.45,1.15
52,52,"Tampa-St. Petersburg-Clearwater, FL",Southeast,27.94775950,-82.45844400,2009,1.95,1.56,1.59,2.47,2.5,1.65,6463605939.0,39739,0.1233,0.0478,38371.64,1.09,6.92,0.2799,0.2553,0.1775,0.8611,0.0145,6324.00,8784.00,0.5479,0.0062,0,588.90,0.286,0.353,0.1192,0.458,0.038,0.091,0.147,0.226,0.498,0.222,35954,42878,52607,49145,0.3561,0.2485,0.1151,0.1831,0.4229,0.5483,0.7495,0.6897,39,0.8985,0.0254,26004.63,9.74
53,53,"Virginia Beach-Norfolk-Newport News, VA-NC",Southeast,36.85298410,-75.97741830,2009,2.25,1.46,2.03,3.55,2.58,1.64,2004495168.0,48525,0.2098,0.0592,37186.17,0.65,5.70,0.2605,0.271,0.2029,0.8862,0.0134,5666.00,11248.00,0.6932,0.0036,0,0,0.273,0.347,0.0592,0.422,0.041,0.101,0.16,0.236,0.463,0.194,43245,55190,69744,60100,0.2927,0.1491,0.0676,0.1547,0.4601,0.5012,0.731,0.6387,40,0.8974,0.0277,15195.00,26.44
54,54,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Northeast,38.89511480,-77.03637160,2009,3.12,2.09,4.09,3.84,3.15,2.44,9226116700.0,75283,0.2049,0.1063,40900.60,2.42,0,0.5024,0.4704,0.2018,0.8918,0.0091,0,18916.00,0.463,0.0189,0,445.90,0.309,0.406,0.202,0.435,0.039,0.098,0.156,0.232,0.475,0.203,65258,67628,108543,90767,0.1693,0.1195,0.0347,0.0893,0.526,0.5486,0.7469,0.6657,64,0.7732,0.0536,191863.83,509.18
55,1,"Albany-Schenectady-Amsterdam, NY",Northeast,42.65116740,-73.75496800,2010,2.68,1.44,3.36,2.93,3.5,2.15,3362914444.0,48756,-0.0081,0.0387,43083.37,8.47,3.66,0.4098,0.3303,0.182,0.9059,0.0065,8357.00,19371.00,0.7534,0,0.0813,310.40,0.238,0,0.0678,0.430,0.037,0.096,0.16,0.243,0.465,0.186,32293,36740,64219,60588,0.35,0.3636,0.0819,0.141,0.2885,0.3819,0.7055,0.66,31,0.88,0.047,13577.82,225.48
56,2,"Atlanta-Sandy Springs-Gainesville, GA-AL",Southeast,33.74909870,-84.39018490,2010,2.12,1.61,2.51,2.76,2.23,1.49,15009697170.0,51830,-0.02,0.0488,40133.99,3.17,5.01,0.3552,0.3447,0.224,0.864,0.0184,6970.00,9295.00,0.3205,0.0122,0.1887,413.80,0.239,0.374,0.1371,0.456,0.035,0.092,0.15,0.231,0.493,0.212,44994,40219,72573,59419,0.2531,0.3523,0.0792,0.1814,0.5275,0.4365,0.7893,0.6736,50,0.8802,0.0314,77839.56,0.23
57,3,"Austin-Round Rock-Marble Falls, TX",Southwest,30.27112860,-97.74369950,2010,2.59,2.59,2.97,2.57,3.15,1.66,8867750211.0,50094,0.1404,0.1475,41017.35,14.56,5.70,0.3943,0.3915,0.2042,0.8691,0.0059,7622.00,9002.00,0.7644,0.0269,0.1984,327.90,0.261,0.359,0.1462,0.457,0.034,0.091,0.15,0.231,0.493,0.214,41183,43875,69928,59718,0.3038,0.3035,0.0579,0.1845,0.4107,0.462,0.6567,0.5856,43,0.8627,0.0255,34814.35,1.16
58,4,"Birmingham-Hoover-Cullman, AL",Southeast,33.52068240,-86.80243260,2010,1.83,1.31,1.95,1.88,2.43,1.59,1687778234.0,46108,-0.0476,0.0245,41167.51,0.82,5.19,0.3191,0.2668,0.1995,0.8473,0.0104,5418.00,8651.00,0.3068,0.0033,0.1292,,0.257,0.337,0.0423,0.475,0.033,0.086,0.144,0.227,0.51,0.231,33606,42303,57908,49217,0.3552,0.357,0.1114,0.2063,0.5296,0.3379,0.8025,0.7112,35,0.9472,0.0212,2446.46,0.00
59,5,"Boston-Worcester-Manchester, MA-RI-NH",Northeast,42.36048230,-71.05956780,2010,2.67,2.37,3.46,2.05,3.52,1.97,21804527212.0,71936,-0.0407,-0.0041,58250.16,9.57,4.73,0.5393,0.4241,0.186,0.9016,0.0076,6863.00,14860.00,0.5918,0.0081,0.0458,406.00,0.297,0.432,0.1654,0.473,0.029,0.087,0.15,0.232,0.502,0.224,44265,39031,79363,73457,0.2637,0.3118,0.0556,0.1113,0.3254,0.259,0.691,0.6232,53,0.7688,0.0683,114954.83,211.35
60,6,"Buffalo-Niagara-Cattaraugus, NY",Northeast,42.88644680,-78.87836890,2010,2.21,1.06,3.06,2.1,2.75,2.07,3792134578.0,41497,-0.0259,0.0495,40387.68,2.09,3.66,0.3752,0.2779,0.1868,0.8887,0.009,8357.00,19371.00,0.5863,0.0002,0.0748,483.70,0.271,0.379,0.0594,0.452,0.034,0.089,0.154,0.24,0.483,0.201,25644,26063,54443,49614,0.4762,0.4336,0.1152,0.2056,0.3379,0.3529,0.7333,0.6667,33,0.8953,0.0477,20446.16,225.48
61,7,"Charlotte-Gastonia-Salisbury, NC-SC",Southeast,35.22708690,-80.84312680,2010,2.23,1.7,2.51,2.33,2.98,1.63,5424621748.0,51819,0.0254,0.1827,38695.59,1.78,4.66,0.3696,0.3216,0.2175,0.8558,0.018,8413.00,8199.00,0.4438,0.0127,0.1622,,0.287,0.37,0.1013,0.468,0.035,0.09,0.145,0.224,0.506,0.231,39215,41054,64416,55075,0.2936,0.3346,0.0871,0.1816,0.4794,0.442,0.7709,0.6737,39,0.9048,0.0249,20361.04,7.96
62,8,"Chicago-Naperville-Michigan City, IL-IN-WI",Midwest,41.87562080,-87.62437060,2010,2.31,1.77,2.99,2.5,2.45,1.86,33671980321.0,55727,-0.065,-0.0125,46676.83,3.11,5.01,0.3988,0.3377,0.214,0.8574,0.0101,8010.00,12512.00,0.1068,0.0045,0.1417,,0.255,0.388,0.1764,0.468,0.033,0.088,0.149,0.229,0.501,0.225,37745,49304,74027,62849,0.385,0.2426,0.0598,0.1789,0.4245,0.5473,0.7719,0.6711,51,0.7972,0.0565,336763.96,46.05
63,9,"Cincinnati-Middletown-Wilmington, OH-KY-IN",Midwest,39.10145370,-84.51246020,2010,2.06,1.42,2.21,2.36,2.68,1.63,17598516401.0,48841,-0.0481,0.0613,41188.69,4.36,4.04,0.3371,0.2887,0.2092,0.8745,0.0129,4561.00,11407.00,0.3178,0.0043,0.1122,314.10,0.305,0.381,0.0406,0.453,0.035,0.091,0.152,0.234,0.487,0.209,31177,45587,59932,55688,0.448,0.3276,0.1193,0.1799,0.3577,0.4515,0.7455,0.6873,37,0.9118,0.0281,22322.05,0.94
64,10,"Cleveland-Akron-Elyria, OH",Midwest,41.48718880,-81.67786910,2010,1.82,1.2,2.14,1.95,2.07,1.76,10260920081.0,52169,-0.0998,0.0082,42206.88,3.61,4.04,0.3313,0.2743,0.2005,0.874,0.0106,4561.00,11407.00,0.3507,-0.0024,0.1099,415.70,0.25,0.344,0.0575,0.466,0.032,0.088,0.149,0.233,0.498,0.218,28580,34400,57498,49806,0.4567,0.384,0.1072,0.2192,0.3967,0.4585,0.7609,0.6729,31,0.8964,0.0362,36386.16,0.94
65,11,"Columbus-Marion-Chillicothe, OH",Midwest,39.96226010,-83.00070650,2010,2.09,1.3,2.52,2.32,2.73,1.6,3554395226.0,50370,-0.0277,0.0789,39871.44,2.54,4.04,0.3914,0.3287,0.2053,0.8909,0.0106,4561.00,11407.00,0.5945,0.0099,0.1197,369.00,0.264,0.345,0.0695,0.453,0.034,0.092,0.152,0.234,0.488,0.207,33962,41181,59943,55078,0.4137,0.3533,0.1308,0.1976,0.3703,0.3765,0.6968,0.6355,40,0.9072,0.0234,17034.88,0.94
66,12,"Dallas-Fort Worth, TX",Southeast,32.78010520,-96.80000820,2010,2.24,2.19,2.47,2.52,2.49,1.53,22500361082.0,57032,0.0314,0.1012,44150.50,3.48,5.70,0.302,0.3088,0.228,0.8237,0.0109,7622.00,9002.00,0.5096,0.0175,0.2285,372.60,0.261,0.364,0.1747,0.462,0.036,0.089,0.146,0.229,0.5,0.22,40796,41492,72565,58674,0.3092,0.3091,0.0755,0.2012,0.4269,0.5108,0.7148,0.6225,44,0.9143,0.022,44240.31,1.16
67,13,"Dayton-Springfield-Greenville, OH",Midwest,39.75894780,-84.19160690,2010,2.01,0.69,1.9,2.61,2.98,1.85,2509770629.0,42385,-0.1478,0.0038,35587.11,2.16,4.04,0.2889,0.2504,0.195,0.8842,0.0135,4561.00,11407.00,0.674,0,0.1162,314.50,0.255,0.35,0.0332,0.443,0.035,0.094,0.155,0.239,0.477,0.196,29757,53471,53117,48762,0.4381,0.2756,0.1513,0.2092,0.4048,0.5193,0.7123,0.6589,24,0.9181,0.0279,6355.69,0.94
68,14,"Denver-Aurora-Boulder, CO",West,39.73915360,-104.98470340,2010,2.31,1.96,2.3,2.51,3.09,1.69,4990919572.0,59284,-0.0221,0.0471,49449.89,3.00,5.63,0.386,0.3813,0.2046,0.8801,0.0159,4407.00,9024.00,0.3863,0.0178,0.1557,337.10,0.279,0.43,0.1219,0.457,0.034,0.091,0.151,0.233,0.492,0.214,36751,42628,70737,63073,0.3726,0.3118,0.0625,0.164,0.4071,0.457,0.7204,0.6545,44,0.8523,0.0286,76168.18,2.55
69,15,"Detroit-Warren-Flint, MI",Midwest,42.34866350,-83.05673750,2010,1.83,1.36,2.03,2.36,1.84,1.58,43964703517.0,46314,-0.1853,-0.0728,39653.40,5.15,5.35,0.3049,0.2702,0.2098,0.8706,0.0175,5311.00,11113.00,0.4795,-0.0046,0.1227,635.40,0.249,0.329,0.0858,0.459,0.033,0.089,0.15,0.237,0.491,0.206,33129,42972,59960,53094,0.4239,0.3341,0.126,0.2209,0.4831,0.6001,0.804,0.7211,40,0.9288,0.0289,47995.24,20.00
70,16,"Fresno-Madera, CA",Southwest,36.72944550,-119.70886061,2010,1.67,0.94,1.63,1.94,1.66,2.17,2018450204.0,33237,0.0358,0.1039,30815.77,0.42,3.89,0.1836,0.197,0.2475,0.7354,0.0097,5932.00,9229.00,0.326,0,0.1957,536.90,0.21,0,0.2182,0.466,0.034,0.085,0.147,0.236,0.499,0.21,26183,37348,62809,47831,0.4714,0.4141,0.1301,0.3412,0.2898,0.4305,0.673,0.5415,15,0.884,0.0373,17589.43,46.83
71,17,"Grand Rapids-Muskegon-Holland, MI",Midwest,42.96335990,-85.66808630,2010,2.34,1.02,2.33,2.79,3.65,1.91,2474039500.0,41248,-0.1046,0.0311,32690.35,2.05,5.35,0.3003,0.263,0.2182,0.8757,0.0096,5311.00,11113.00,0.8329,0,0.1149,389.70,0.377,0.348,0.0587,0.435,0.039,0.096,0.157,0.236,0.473,0.199,26687,33257,54222,50544,0.5604,0.4204,0.1333,0.2174,0.3634,0.4899,0.7865,0.7365,24,0.917,0.0254,9307.11,20.00
72,18,"Greensboro-Winston-Salem-High Point, NC",Southeast,36.07263550,-79.79197540,2010,1.93,1.09,2.09,2.14,2.54,1.79,4007786594.0,46789,-0.0875,0.0784,34032.85,1.67,4.66,0.2838,0.2566,0.1934,0.8367,0.0101,8413.00,8199.00,0.5879,0,0.1646,383.80,0.282,0.327,0.082,0.466,0.036,0.089,0.145,0.225,0.505,0.227,33204,34826,52119,44854,0.3519,0.377,0.1334,0.2361,0.4504,0.4482,0.7556,0.6604,27,0.9297,0.0246,4486.08,7.96
73,19,"Greenville-Spartanburg-Anderson, SC",Southeast,34.85123160,-82.39851050,2010,1.73,1.22,1.72,2.01,2.4,1.28,8746341411.0,37342,-0.0618,0.1228,32158.27,2.99,5.03,0.3179,0.2747,0.1935,0.834,0.0145,5007.00,9215.00,0.5151,0,0.1633,518.60,0.309,0.321,0.0665,0.463,0.035,0.088,0.147,0.232,0.498,0.219,31473,29626,51557,46365,0.386,0.4117,0.1328,0.2151,0.4799,0.3798,0.7513,0.6869,0,0.9274,0.0233,695.96,1.31
74,20,"Hartford-West Hartford-Willimantic, CT",Northeast,41.76559900,-72.69058501,2010,2.64,2.05,3.31,2.75,3.3,1.79,7894220547.0,68005,-0.0013,0.0281,53204.78,4.61,4.72,0.394,0.3481,0.1957,0.8854,0.0126,10459.00,15619.00,0.7863,0.0027,0.0754,297.40,0.298,0.38,0.1257,0.450,0.034,0.092,0.155,0.236,0.484,0.207,43893,35425,76873,69133,0.2604,0.331,0.0496,0.1295,0.4224,0.3029,0.7757,0.6882,38,0.8965,0.0311,14755.44,86.38
75,21,"Houston-Baytown-Huntsville, TX",Southeast,29.95192650,-95.54091698,2010,2.23,3.1,2.36,2.32,1.98,1.4,80569747924.0,63816,0.1038,0.1562,47407.46,3.75,5.70,0.274,0.2838,0.231,0.7996,0.0083,7622.00,9002.00,0.3397,0.021,0.2483,620.70,0.219,0.369,0.2223,0.473,0.033,0.085,0.144,0.228,0.509,0.224,42336,42828,78089,58324,0.2935,0.3137,0.0748,0.2219,0.4647,0.539,0.736,0.6296,51,0.9087,0.0288,66663.05,1.16
76,22,"Indianapolis-Anderson-Columbus, IN",Midwest,39.76837950,-86.15804470,2010,2.08,1.88,2.11,2.37,2.47,1.56,9446708109.0,58590,-0.0044,0.0903,40211.26,2.84,5.67,0.3502,0.3095,0.2159,0.8668,0.019,5064.00,9471.00,0.2658,0.0101,0.1358,205.80,0.25,0.362,0.0617,0.452,0.037,0.091,0.15,0.233,0.489,0.213,32908,35147,59980,54285,0.3539,0.3881,0.1205,0.19,0.4077,0.3955,0.7443,0.6772,41,0.9239,0.0201,8527.87,8.47
77,23,"Jacksonville, FL",Southeast,30.33218380,-81.65565100,2010,2.24,1.9,1.95,2.77,2.81,1.78,1940462242.0,42068,0.0292,0.1126,41306.27,1.26,6.62,0.2677,0.2625,0.202,0.8746,0.012,5734.00,8597.00,0.6247,0.0106,0.1635,557.00,0.287,0.386,0.0785,0.451,0.036,0.094,0.152,0.229,0.488,0.217,36819,46016,60499,54382,0.3254,0.227,0.1237,0.1897,0.4964,0.5182,0.7406,0.6761,30,0.9129,0.026,10757.46,9.87
78,24,"Kansas City-Overland Park-Kansas City, MO-KS",Midwest,39.08446870,-94.56302980,2010,2.28,1.66,2.53,2.94,2.42,1.83,7374127565.0,52916,-0.0315,0.0374,43740.17,2.70,5.37,0.3672,0.325,0.2116,0.8911,0.0139,6161.00,9717.00,0.3288,0.0095,0.1279,461.30,0.294,0.345,0.0625,0.439,0.038,0.095,0.156,0.236,0.476,0.202,33587,41986,63758,58219,0.3675,0.2917,0.0967,0.1632,0.4162,0.5033,0.7387,0.6804,27,0.9188,0.0217,15101.86,1.05
79,25,"Knoxville-Sevierville-La Follette, TN",Southeast,35.96039480,-83.92102610,2010,1.92,1.48,2.12,1.87,2.52,1.61,2280249702.0,38533,0.0418,0.1413,33461.83,2.91,5.10,0.3538,0.2894,0.1806,0.8722,0.0112,6924.00,7978.00,0.3589,0,0.1106,466.10,0.27,0.354,0.0375,0.463,0.034,0.089,0.148,0.231,0.498,0.217,24880,33018,49894,47607,0.4587,0.4428,0.1505,0.1944,0.3886,0.4041,0.7321,0.6978,37,0.936,0.0166,2988.29,5.70
80,26,"Las Vegas-Paradise-Pahrump, NV",Southwest,36.14520400,-115.16118060,2010,2.05,2.35,1.15,3.36,1.86,1.52,1187803785.0,43351,0.1064,0.298,36501.83,1.16,7.05,0.2122,0.2183,0.1955,0.8251,0.0299,7507.00,8482.00,0.5315,0.0072,0.2217,763.40,0.194,0.396,0.2205,0.433,0.04,0.098,0.156,0.232,0.474,0.202,42334,48057,64162,57324,0.3078,0.2628,0.0872,0.1863,0.3396,0.4457,0.6448,0.5663,44,0.8949,0.0362,56382.29,0.00
